WKT,LEVEL,h3_index,COMP_WALK_1,COMP_WALK_2,COMP_WALK_3,COMP_WALK_4,COMP_WALK_5,COMP_WALK_6
"POLYGON ((-3.7515108907145 40.3919828941854,-3.75233358831344 40.3917254088933,-3.75245068302946 40.3910222231181,-3.75174509295535 40.3905765284316,-3.75092241039343 40.3908340137138,-3.7508053028688 40.3915371936924,-3.7515108907145 40.3919828941854))",10,8a390cba826ffff,22.3791249189246,4.38960842395035,-1.54579924183931,-0.395413791782824,1.34749817645783,0.571197846187709
"POLYGON ((-3.75397898381107 40.3912104148173,-3.75480168170907 40.3909529060334,-3.75491875401945 40.3902497085284,-3.7542131412413 40.3898040256032,-3.7533904583796 40.3900615343763,-3.75327337325994 40.3907647260853,-3.75397898381107 40.3912104148173))",10,8a390cba8277fff,21.0554972325833,4.03150202404491,-0.632530060276112,-0.597782842662895,1.48607040025041,0.896334472029529
"POLYGON ((-3.75773796284982 40.3873674836246,-3.7585606312674 40.3871099278819,-3.75867766519487 40.3864067066474,-3.75797204351435 40.385961046951,-3.75714939013092 40.3862186026817,-3.75703234339403 40.3869218181208,-3.75773796284982 40.3873674836246))",10,8a390cba8287fff,20.0459448106899,3.75754337636722,-1.23880737695322,0.129465085319458,1.9050767923188,0.197436703527912
"POLYGON ((-3.76832380365298 40.3940522218645,-3.76914658554771 40.3937946072887,-3.76926353932562 40.3930913577743,-3.76855772402482 40.3926457286284,-3.76773495716525 40.3929033431894,-3.7676179905715 40.393606586911,-3.76832380365298 40.3940522218645))",10,8a390cba810ffff,11.0241009463105,1.3604708044806,-0.38711002781782,0.339661180829061,1.88920014220062,-1.32318899964738
"POLYGON ((-3.76996521735367 40.3888718181912,-3.7707879470471 40.3886141684278,-3.77090487847562 40.3879109008422,-3.77019909302557 40.3874652888127,-3.76937637836491 40.3877229385605,-3.76925943412171 40.3884262003534,-3.76996521735367 40.3888718181912))",10,8a390cba80b7fff,12.5509191147929,1.71696982223912,-0.456932432058761,0.290237493843284,1.52336326049018,-1.53664441253388
"POLYGON ((-3.7644400923659 40.3892686726038,-3.76526280646346 40.38901106984,-3.76537978592949 40.3883078255642,-3.76467406411082 40.3878621898461,-3.7638513650471 40.3881197925961,-3.76373437276839 40.388823031078,-3.7644400923659 40.3892686726038))",10,8a390cba80c7fff,13.1075847264248,1.86491175734387,-0.62441055068476,0.274268380411534,1.46109134528823,-1.211600842774
"POLYGON ((-3.76291166633066 40.389080622089,-3.76373437276839 40.388823031078,-3.7638513650471 40.3881197925961,-3.76314566370026 40.3876741509193,-3.76232297229654 40.3879317419169,-3.76220596720581 40.3886349746046,-3.76291166633066 40.389080622089))",10,8a390cba80cffff,17.2520541448412,2.83756324802441,-1.18723289912032,0.351603519024896,1.90915003331667,0.387728785755278
"POLYGON ((-3.76537978592949 40.3883078255642,-3.76620249265218 40.3880502110615,-3.76631946252274 40.3873469608549,-3.76561373848351 40.3869013309448,-3.76479104679409 40.3871589454333,-3.76467406411082 40.3878621898461,-3.76537978592949 40.3883078255642))",10,8a390cba80d7fff,15.0589454516371,2.43664548700686,-0.0401352347580042,-0.132992949712265,1.42325333911473,-1.38411539879055
"POLYGON ((-3.76502884115303 40.3904175523226,-3.76585157028478 40.3901599495447,-3.76596854653326 40.3894567054066,-3.76526280646346 40.38901106984,-3.7644400923659 40.3892686726038,-3.76432310330413 40.3899719109483,-3.76502884115303 40.3904175523226))",10,8a390cba80e7fff,15.4806662754276,2.31314821893998,-0.265242797290137,0.126610546173254,1.70208331667698,-1.6388373223912
"POLYGON ((-3.76350038183203 40.3902295019729,-3.76432310330413 40.3899719109483,-3.7644400923659 40.3892686726038,-3.76373437276839 40.388823031078,-3.76291166633066 40.389080622089,-3.76279466445626 40.3897838546394,-3.76350038183203 40.3902295019729))",10,8a390cba80effff,14.8321891279864,2.18994128806544,-0.417733388549221,0.109298671099463,1.34759888783434,-1.44047253604314
