WKT,LEVEL,h3_index,COMP_CAR_1,COMP_CAR_2,COMP_CAR_3,COMP_CAR_4,COMP_CAR_5,COMP_CAR_6,COMP_CAR_7
"POLYGON ((-3.64582608108158 40.4596188058386,-3.64759032575101 40.4584035217261,-3.64712157771398 40.4565520380731,-3.6448886987859 40.4559158561024,-3.64312451081555 40.4571311113297,-3.64359314507363 40.4589825774117,-3.64582608108158 40.4596188058386))",9,89390ca259bffff,1.0326434584928,1.88824066766549,-0.0307333674452199,0.0462816612787992,-0.652233867247801,-0.705816919666453,1.47076683504816
"POLYGON ((-3.63113376725376 40.4588673790389,-3.63289801157101 40.4576523881972,-3.63242970018641 40.455800962086,-3.63019725825504 40.4551645444181,-3.62843307068306 40.4563795063929,-3.62890126829656 40.4582309149015,-3.63113376725376 40.4588673790389))",9,89390ca25a3ffff,1.11898553519277,1.71228305618079,-0.0135311663748636,0.115645924018917,-0.733387167399828,-0.609685640463361,1.81099198991525
"POLYGON ((-3.6271370052334 40.4594458176137,-3.62890126829656 40.4582309149015,-3.62843307068306 40.4563795063929,-3.62620072377721 40.4557430182066,-3.62443651747311 40.4569578920574,-3.62490460131521 40.4588092829548,-3.6271370052334 40.4594458176137))",9,89390ca25a7ffff,1.12626587582287,1.65048593782761,-0.00902734444090547,0.0443466742130735,-0.729170761236832,-0.571171408548131,1.71918398149149
"POLYGON ((-3.63242970018641 40.455800962086,-3.63419386900807 40.4545859119876,-3.63372553916262 40.4527344730929,-3.63149315425698 40.4520981018951,-3.62972904217165 40.453313123123,-3.63019725825504 40.4551645444181,-3.63242970018641 40.455800962086))",9,89390ca25abffff,1.14197868364856,1.70359291440012,-0.012890443700275,0.0976441396228096,-0.866635918572773,-0.657631888953873,1.78065816352858
"POLYGON ((-3.62843307068306 40.4563795063929,-3.63019725825504 40.4551645444181,-3.62972904217165 40.453313123123,-3.62749675227805 40.45267668141,-3.62573262145618 40.4538916145199,-3.62620072377721 40.4557430182066,-3.62843307068306 40.4563795063929))",9,89390ca25afffff,1.11127378487373,1.66895633757225,-0.0131627340218133,0.10083553659023,-0.755515423823778,-0.67355112432992,1.68150343046144
"POLYGON ((-3.63383471119027 40.4613552324297,-3.63559901224797 40.4601402127192,-3.6351306055487 40.4582887818051,-3.63289801157101 40.4576523881972,-3.63113376725376 40.4588673790389,-3.63160206017315 40.4607187923562,-3.63383471119027 40.4613552324297))",9,89390ca25b3ffff,1.12425019015949,1.76765722327496,-0.020814506013941,0.0853980839228053,-0.753825340764992,-0.588089907959719,1.8714500062134
"POLYGON ((-3.67510317552157 40.4524940815516,-3.67686721243228 40.4512781213197,-3.67639764958607 40.4494265021486,-3.67416416359615 40.4487908607161,-3.672400183279 40.4500067920208,-3.67286963235761 40.4518583936841,-3.67510317552157 40.4524940815516))",9,89390ca24d7ffff,0.537673390875474,2.66110790000961,-0.228667815386134,-0.800009419292231,0.19315917981474,-0.291445334380509,-2.23104194652702
"POLYGON ((-3.65911323502863 40.4548138661368,-3.66087734761485 40.4535982584029,-3.66040823984107 40.4517467093148,-3.65817513324944 40.4511107855017,-3.65641107731199 40.4523263643303,-3.65688007131683 40.4541778958761,-3.65911323502863 40.4548138661368))",9,89390ca24a3ffff,0.790101047490896,2.21281902467707,-0.128694384831952,-0.549067786720007,-0.10032376267835,-0.522470955002978,0.149189595794264
"POLYGON ((-3.65511593985728 40.4553934154842,-3.65688007131683 40.4541778958761,-3.65641107731199 40.4523263643303,-3.65417806561625 40.4516903699423,-3.65241399081926 40.4529058606505,-3.65288287105485 40.4547573746455,-3.65511593985728 40.4553934154842))",9,89390ca24a7ffff,0.859715094975607,2.05166246319963,-0.0991480767592282,0.0151462874887952,-0.284973652155949,-0.590612801923933,0.488719610617854
"POLYGON ((-3.66040823984107 40.4517467093148,-3.66217227690076 40.4505310423663,-3.66170315072952 40.4486794805148,-3.65947010125791 40.4480436031499,-3.65770612083808 40.4492592411896,-3.65817513324944 40.4511107855017,-3.66040823984107 40.4517467093148))",9,89390ca24abffff,0.818422369781437,2.27570864647224,-0.116457903399264,-0.541092129583619,-0.217054199156795,-0.43371557347968,0.230481412775678
