WKT,GEOCODE_9,TOTALVIEWS,LEADS,WALK_TRANSPORT_METRO,WALK_TRANSPORT_TRAIN,CAR_TRANSPORT_TRAIN,WALK_TRANSPORT_BUS,AVG_UNITPRICE,MED_UNITPRICE,MED_PRICE,N,STD_TRANSPORT_TRAIN,STD_TRANSPORT_METRO,STD_TRANSPORT_BUS,STD_TRANSPORT_COMMUTING_ALL,STD_TRANSPORT_COMMUTING_RAILWAY,h3_index
"POLYGON ((-3.78081277066966 40.1920840943984,-3.78257042175668 40.1908632249428,-3.78209942676512 40.189010575854,-3.77987089368634 40.188378813489,-3.77811329845285 40.1895996537197,-3.778584180444 40.1914522855392,-3.78081277066966 40.1920840943984))","617996733720821759",191.5,2.5,0,0,86.3648893774761,0,1458.71559633028,1458.71559633028,159000,"2",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c149c7ffff
"POLYGON ((-3.78209942676512 40.189010575854,-3.78385700269576 40.1877896480214,-3.78338598970351 40.1859369870533,-3.78115751377141 40.1853052711831,-3.77939999368551 40.1865261697873,-3.77987089368634 40.188378813489,-3.78209942676512 40.189010575854))","617996733721346047",73.5,0.5,0,0,84.9242429423882,0,1105.93137254902,1105.93137254902,143900,"2",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c149cfffff
"POLYGON ((-3.80756221119164 40.1996633503762,-3.80932000804916 40.1984420134899,-3.80884818082766 40.1965892740842,-3.80661866978096 40.1959578887757,-3.80486092870229 40.1971791964079,-3.80533264289083 40.1990319186016,-3.80756221119164 40.1996633503762))","617996733761191935",197,4.16666666666667,0,0,91.6643186646629,0,1573.12551440329,1444.5,148475,"6",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14c2fffff
"POLYGON ((-3.79958751623696 40.2008428273082,-3.80134535192782 40.1996216656767,-3.80087375077268 40.1977689607036,-3.79864442695991 40.1971374345901,-3.7968866470754 40.1983585669784,-3.79735813519668 40.2002112547223,-3.79958751623696 40.2008428273082))","617996733779279871",144.706896551724,1.31034482758621,0,0,90.8284217721063,0,1494.38200178456,1415.625,166250,"58",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14d43ffff
"POLYGON ((-3.79560028011623 40.2014323287255,-3.79735813519668 40.2002112547223,-3.7968866470754 40.1983585669784,-3.79465741690732 40.1977269704744,-3.79289961764696 40.1989480152397,-3.79337099273399 40.2008006857457,-3.79560028011623 40.2014323287255))","617996733779542015",167.071428571429,2.48571428571429,0,0,89.679063544841,0,1638.5871810074,1548.91304347826,151000,"70",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14d47ffff
"POLYGON ((-3.80087375077268 40.1977689607036,-3.8026315112633 40.196547740693,-3.80215989214421 40.1946950238168,-3.79993062555873 40.1940635441765,-3.79817292086566 40.1952847349403,-3.79864442695991 40.1971374345901,-3.80087375077268 40.1977689607036))","617996733779804159",149,1.85714285714286,0,0,89.1625907520564,0,1283.83459428049,1351.81481481481,168000,"7",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14d4bffff
"POLYGON ((-3.7968866470754 40.1983585669784,-3.79864442695991 40.1971374345901,-3.79817292086566 40.1952847349403,-3.79594374791156 40.1946531849125,-3.79418602383834 40.1958742880594,-3.79465741690732 40.1977269704744,-3.7968866470754 40.1983585669784))","617996733780066303",161.666666666667,3.22222222222222,0,0,89.1625907520564,0,1570.10011253591,1531.61764705882,174695,"18",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14d4fffff
"POLYGON ((-3.80228863134462 40.2033270690209,-3.8040465228369 40.2021058781442,-3.80357482660761 40.2002531678609,-3.80134535192782 40.1996216656767,-3.79958751623696 40.2008428273082,-3.80005909942383 40.202695520368,-3.80228863134462 40.2033270690209))","617996733780328447",270.657142857143,4.6,0.860707976425058,0,92.2164312179128,0,1222.46826711092,1155.55555555556,104000,"35",-0.644054158589951,-0.717718457796734,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14d53ffff
"POLYGON ((-3.79830118852824 40.2039166236108,-3.80005909942383 40.202695520368,-3.79958751623696 40.2008428273082,-3.79735813519668 40.2002112547223,-3.79560028011623 40.2014323287255,-3.79607175026029 40.2032850045531,-3.79830118852824 40.2039166236108))","617996733780590591",120.454545454545,1.09090909090909,0.860707976425058,0,90.8284217721063,0,1400.40336305682,1411.65254237288,168500,"11",-0.644054158589951,-0.717718457796734,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14d57ffff
"POLYGON ((-3.80357482660761 40.2002531678609,-3.80533264289083 40.1990319186016,-3.80486092870229 40.1971791964079,-3.8026315112633 40.196547740693,-3.80087375077268 40.1977689607036,-3.80134535192782 40.1996216656767,-3.80357482660761 40.2002531678609))","617996733780852735",223,1.33333333333333,0,0,91.2463702183846,0,1387.17432950192,1277.01149425287,111100,"6",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14d5bffff
"POLYGON ((-3.83379340062322 40.1727045702313,-3.83555051791583 40.1714824163779,-3.83507809540869 40.1696295134169,-3.83284866856735 40.1689987814622,-3.83109160692813 40.1702209060113,-3.83156391647622 40.1720737918184,-3.83379340062322 40.1727045702313))","617996733796843519",116.166666666667,1.16666666666667,0,0,84.4986381542151,0,1630.13980155312,1818.18181818182,160000,"12",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14e4fffff
"POLYGON ((-3.82582023260605 40.1738869879707,-3.82757738894502 40.1726650092681,-3.82710519235646 40.1708121406237,-3.82487595238826 40.170181267852,-3.82311885173019 40.1714032172611,-3.82359093535878 40.1732560687343,-3.82582023260605 40.1738869879707))","617996733798154239",108.2,1,0,0,84.0116008484857,0,1514.69572836802,1626.50602409639,135000,"5",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14e63ffff
"POLYGON ((-3.82710519235646 40.1708121406237,-3.82886227351412 40.1695901036442,-3.82839005903211 40.1677372231912,-3.82616087634282 40.1671063968848,-3.82440385085727 40.1683284045673,-3.82487595238826 40.170181267852,-3.82710519235646 40.1708121406237))","617996733798678527",230.25,1.25,0,0,84.1743501371082,0,1332.75168350168,1329.85521885522,144250,"4",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14e6bffff
"POLYGON ((-3.82311885173019 40.1714032172611,-3.82487595238826 40.170181267852,-3.82440385085727 40.1683284045673,-3.82217476161898 40.1676975078675,-3.82041771664676 40.168919427985,-3.82088970522633 40.1707722740927,-3.82311885173019 40.1714032172611))","617996733798940671",277.333333333333,4.66666666666667,0,0,83.7401022940391,0,1297.24279835391,1342.59259259259,145000,"9",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14e6fffff
"POLYGON ((-3.8298067796514 40.1732958580968,-3.83156391647622 40.1720737918184,-3.83109160692813 40.1702209060113,-3.82886227351412 40.1695901036442,-3.82710519235646 40.1708121406237,-3.82757738894502 40.1726650092681,-3.8298067796514 40.1732958580968))","617996733799727103",160.333333333333,1,0,0,84.4986381542151,0,1311.25551954604,1338.63636363636,146300,"18",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c14e7bffff
"POLYGON ((-3.83109160692813 40.1702209060113,-3.83284866856735 40.1689987814622,-3.83237634113484 40.1671458838495,-3.830147065013 40.1665151279445,-3.82839005903211 40.1677372231912,-3.82886227351412 40.1695901036442,-3.83109160692813 40.1702209060113))","617996734055317503",200.4,3.2,0,0,84.1743501371082,0,1805.08575361749,1544.41747572816,154537.5,"5",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c15db7ffff
"POLYGON ((-3.9233770542059 40.2719252268536,-3.92513641825969 40.2707022798299,-3.92466073066995 40.2688492462982,-3.92242579231971 40.2682191767545,-3.92066648377928 40.2694420944229,-3.92114205807509 40.2712951109892,-3.9233770542059 40.2719252268536))","617996734162272255",259.5,4.5,0,0,105.114239957008,0,1990.48076923077,1990.48076923077,207010,"2",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c16417ffff
"POLYGON ((-3.92879893502248 40.2768914327133,-3.9305584100878 40.2756684269734,-3.93008253134235 40.2738153837631,-3.92784729084187 40.2731853632456,-3.92608787127978 40.2744083396265,-3.92656363671427 40.2762613658828,-3.92879893502248 40.2768914327133))","617996734169350143",562,11,0,0,105.939458385817,0,2023.07692307692,2023.07692307692,263000,"1",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c16483ffff
"POLYGON ((-3.93008253134235 40.2738153837631,-3.93184193087372 40.2725923195883,-3.93136603441087 40.2707392642597,-3.92913085171788 40.2701092900558,-3.92737150768092 40.271332324868,-3.92784729084187 40.2731853632456,-3.93008253134235 40.2738153837631))","617996734169874431",52,1,0,0,104.150654450655,0,1777.77777777778,1777.77777777778,160000,"1",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c1648bffff
"POLYGON ((-3.918098771009 40.2755937754639,-3.9198582305781 40.2743709746731,-3.91938267402259 40.2725179702236,-3.9171477712009 40.2718877835408,-3.91538836716784 40.2731105549853,-3.91586381041981 40.2749635424578,-3.918098771009 40.2755937754639))","617996734171447295",322,3.66666666666667,0,0,104.388455363792,0,2140.69023569024,1920.20202020202,190100,"3",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c164a3ffff
"POLYGON ((-3.91938267402259 40.2725179702236,-3.92114205807509 40.2712951109892,-3.92066648377928 40.2694420944229,-3.91843163872481 40.2688119540641,-3.91667231019956 40.2700347839486,-3.9171477712009 40.2718877835408,-3.91938267402259 40.2725179702236))","617996734171971583",420.4375,5.34375,0,0,105.009752845438,0,1664.17257651953,1690.90909090909,150900,"32",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c164abffff
"POLYGON ((-3.91538836716784 40.2731105549853,-3.9171477712009 40.2718877835408,-3.91667231019956 40.2700347839486,-3.91443755845954 40.2694045727826,-3.9126782099676 40.2706273148825,-3.91315355767392 40.272480297492,-3.91538836716784 40.2731105549853))","617996734172233727",276.235294117647,5,0,0,105.220368405664,0,1815.85169408144,1744.27083333333,188745,"34",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c164afffff
