WKT,CAR_TRANSPORT_TRAIN,CAR_TRANSPORT_BUS,CAR_TRANSPORT_AIRPORT,CAR_TOURISM,CAR_SPORT,CAR_SHOP,CAR_ROUTING_HIGHWAY,CAR_ROUTING_COMPLEXITY,CAR_PARK,CAR_HOTEL,CAR_HEALTH,CAR_EDUCATION,CAR_CAD_VENUES,CAR_CAD_URBAN_LAND,CAR_CAD_SPORT,CAR_CAD_SCHOOLS,CAR_CAD_RESIDENTIAL,CAR_CAD_RELIGION,CAR_CAD_PUBLIC,CAR_CAD_OFFICE,CAR_CAD_INDUSTRY,CAR_CAD_HOTEL,CAR_CAD_COMMERCE,CAR_CAD_AGRICULTURE,H3_INDEX
"POLYGON ((-3.63091609790964 40.4416257841856,-3.63267992684759 40.440410614135,-3.63221173219774 40.4385591466552,-3.62997982232677 40.4379228668272,-3.62821605010806 40.4391380080004,-3.62868413104049 40.4409894578778,-3.63091609790964 40.4416257841856))",0.766637707233237,0.643732515641562,0.969935338087724,0.875025785009762,0.426057914765595,0.87974326697096,0.551690642646197,0.122866208010928,0.729642057582669,0.944972210473222,0.646382501599144,0.76015455689041,0.755024811564315,0.908245470561665,0.481782120519975,0.569666542264991,0.697403221465045,0.673856627962307,0.853410641879377,0.666328964384072,0.598490320370959,0.780585266278937,0.663583550580767,0.548626836494739,89390ca256fffff
"POLYGON ((-3.63631693528136 40.446601279065,-3.63808087764327 40.445386051254,-3.63761249244165 40.4435345740699,-3.63538027861245 40.4428983422867,-3.63361639296009 40.4441135412164,-3.63408466442678 40.4459650008095,-3.63631693528136 40.446601279065))",0.747502901213994,0.597852896267489,0.976447384323078,0.862633747644666,0.415530770872904,0.868281132042868,0.551234279405742,0.246241663924124,0.730032645497596,0.936454123237701,0.625224864496065,0.737979398292137,0.751586754845966,0.905715508724418,0.482111063954272,0.568539627968025,0.669458277066424,0.636429407204701,0.818218460503809,0.647806138663147,0.555508970720467,0.759898259719944,0.625871185746653,0.557485372211581,89390ca2573ffff
"POLYGON ((-3.63232070330128 40.4471801405149,-3.63408466442678 40.4459650008095,-3.63361639296009 40.4441135412164,-3.6313842741025 40.4434772389273,-3.62962036970033 40.4446923497571,-3.63008852743181 40.4465437917505,-3.63232070330128 40.4471801405149))",0.666384065682391,0.715039509626396,0.976447384323078,0.859535377554924,0.527500756675259,0.909682069512551,0.519598309318108,0.200715661662834,0.722839014649666,0.954631534389792,0.739242222373534,0.674751719519779,0.774016323391501,0.898156452390709,0.464865099855501,0.655921414688789,0.669999782451034,0.701848713845975,0.862482710739543,0.731762417597636,0.581013353970643,0.841441396262084,0.724067618168846,0.497951010848252,89390ca2577ffff
"POLYGON ((-3.64430962781378 40.4454430802897,-3.64607353259392 40.4442276762694,-3.64560491992337 40.442376163929,-3.64337251620643 40.4417400731817,-3.64160866810831 40.4429554483099,-3.64207716704454 40.4448069430765,-3.64430962781378 40.4454430802897))",0.802497930950901,0.484762673933691,0.976447384323078,0.833147591989083,0.45757595206952,0.822010891260435,0.567894521483473,0.159741046165083,0.710148167966373,0.890029720947503,0.508670036436562,0.729224383000112,0.689555850833381,0.887131568452037,0.508291752160376,0.461870772033616,0.633114992716505,0.558366228850409,0.727770917672939,0.506627703435252,0.50778980115022,0.673115701336889,0.525297028274116,0.532905306573606,89390ca2543ffff
"POLYGON ((-3.64182888158989 40.4601977733907,-3.64359314507363 40.4589825774117,-3.64312451081555 40.4571311113297,-3.64089172685242 40.4564948588052,-3.63912752008155 40.4577100259045,-3.63959604056036 40.4595614744069,-3.64182888158989 40.4601977733907))",0.612241836562754,0.779839460225721,0.96342329185237,0.89600315082535,0.705344459329155,0.921126678578379,0.501071727721002,0.187985554800765,0.639454775999615,0.941150574009332,0.780332135462967,0.639451265481804,0.889839890002624,0.825021572683527,0.422859248568369,0.701467333706065,0.662719654630627,0.722233371967177,0.834209188714238,0.750105463310191,0.604896320683688,0.846528125721363,0.79438922148203,0.512698745964025,89390ca2583ffff
"POLYGON ((-3.63783175828055 40.4607765822519,-3.63959604056036 40.4595614744069,-3.63912752008155 40.4577100259045,-3.63689483110187 40.4570737028343,-3.6351306055487 40.4582887818051,-3.63559901224797 40.4601402127192,-3.63783175828055 40.4607765822519))",0.612241836562754,0.779839460225721,0.96342329185237,0.896419610903628,0.70618788327626,0.921551852110007,0.50107172772137,0.188620661401297,0.642241947621783,0.941243780168495,0.780694606494588,0.63984012560052,0.889839890002624,0.825021572683527,0.423276154980733,0.70186076412205,0.664609915603008,0.722328710183681,0.834380208442402,0.750319666995882,0.605890827824586,0.846712268996696,0.79483159716652,0.512698745964025,89390ca2587ffff
"POLYGON ((-3.64312451081555 40.4571311113297,-3.6448886987859 40.4559158561024,-3.64442004608976 40.4540643772352,-3.64218731919289 40.4534281711708,-3.64042318792648 40.4546433975147,-3.64089172685242 40.4564948588052,-3.64312451081555 40.4571311113297))",0.690610797155411,0.631507004900063,0.955857373545906,0.902289646045673,0.675986731076927,0.87749798276365,0.348342233344657,0.186159469762502,0.657693788591458,0.931844291054319,0.644981946261003,0.663476869433974,0.803054507002981,0.931499629923573,0.457452320674488,0.589092617813551,0.633446469516186,0.659645984708095,0.786439847688772,0.607188898097701,0.486713686726146,0.769851885487274,0.666835136527664,0.552426890485777,89390ca258bffff
"POLYGON ((-3.63912752008155 40.4577100259045,-3.64089172685242 40.4564948588052,-3.64042318792648 40.4546433975147,-3.63819055599959 40.4540071209077,-3.63642640594645 40.4552222591292,-3.63689483110187 40.4570737028343,-3.63912752008155 40.4577100259045))",0.698853212350318,0.680387829209974,0.96342329185237,0.893264955929981,0.659483180460479,0.898123998185407,0.338787153734295,0.188543325924609,0.62465601793882,0.94057164289037,0.706645303015374,0.649095712534828,0.864749405610208,0.846637963790673,0.440715694335303,0.643281870233205,0.651690375320547,0.690420088081418,0.81439084490254,0.666450672705433,0.53621611317107,0.804373317193748,0.724537225226186,0.542738000849605,89390ca258fffff
"POLYGON ((-3.64453049049346 40.4626855015598,-3.6462948106852 40.4614702766991,-3.64582608108158 40.4596188058386,-3.64359314507363 40.4589825774117,-3.64182888158989 40.4601977733907,-3.64229749740552 40.4620492266773,-3.64453049049346 40.4626855015598))",0.648558208534362,0.620775729968729,0.969617741845148,0.868002931878968,0.661080337574118,0.860483736426031,0.34530090384058,0.199485175101319,0.631398476137366,0.916236192202469,0.627141095060313,0.646062198573305,0.843944020537215,0.839501130920099,0.509481779953537,0.55996945013158,0.631999445861545,0.665201211720963,0.756553718541803,0.50995713404025,0.485545918760288,0.748046853824288,0.663003364984067,0.519276578943559,89390ca2593ffff
"POLYGON ((-3.6405331584039 40.4632643633985,-3.64229749740552 40.4620492266773,-3.64182888158989 40.4601977733907,-3.63959604056036 40.4595614744069,-3.63783175828055 40.4607765822519,-3.63830026030788 40.4626280179559,-3.6405331584039 40.4632643633985))",0.645448447737091,0.651377704647144,0.969617741845148,0.89376077794011,0.659629852332832,0.884007186985542,0.346166501291976,0.196071472472718,0.641663170653143,0.935451184225115,0.675125381300019,0.662699701353067,0.859008630740338,0.84163927955076,0.534778808565732,0.616770217072319,0.647222659566948,0.691305533470169,0.796703517578003,0.577952431835026,0.507361788065777,0.787958742667629,0.702802230578141,0.572034568934927,89390ca2597ffff
